Time,K,A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4,E1,E2,E3,E4,F1,F2,F3,F4,G1,G2,G3,G4,W,X,Y,Z,N1,N2,N3,N4,N5,N6,N7,N8,H1,H2,H3,H4,J1,J2,J3,K1,K2,K3,K4
128,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3,3,4,,,,1,1,,1,1,4,4,4,4,4,4,4,4,4,4,4
326,1,6,6,5,6,6,6,6,6,5,5,5,5,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,1,6,3,3,,1,,,,1,1,1,6,6,6,6,4,4,4,6,6,6,5
150,1,6,6,6,7,6,4,5,5,4,3,3,3,4,4,5,4,2,2,2,3,4,4,5,4,4,4,5,4,2,4,5,3,,,,1,,,1,1,5,5,5,5,5,6,5,5,5,7,6
311,1,6,5,4,6,4,3,5,5,6,3,5,6,5,6,4,7,5,4,4,6,6,5,6,6,5,6,5,5,2,3,3,3,,,,,,1,1,1,6,5,5,4,4,7,6,7,5,6,6
340,1,6,6,7,6,6,6,6,6,6,6,6,6,4,5,5,6,5,6,3,3,6,6,6,7,6,5,6,7,1,2,3,2,1,,1,,,1,,,6,6,7,6,7,6,6,6,7,7,7
307,1,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,1,2,,,,,,,1,,5,6,6,6,6,6,6,6,6,6,6
188,1,6,4,4,7,5,4,4,7,4,4,4,7,5,4,4,7,5,4,4,7,5,4,4,7,5,4,4,7,2,3,4,6,,1,,1,,1,1,1,6,7,7,7,1,1,1,4,4,4,4
208,1,5,4,4,1,5,5,5,1,4,4,4,1,5,5,5,1,5,5,5,7,5,5,5,1,5,5,5,1,1,4,1,2,,1,,,,,1,,6,3,4,4,5,3,5,1,1,1,1
112,1,5,6,5,6,7,6,5,6,5,6,5,4,7,6,7,6,5,6,7,6,6,5,6,5,5,6,5,4,2,5,4,4,,,,,1,1,1,,6,5,6,5,6,5,6,7,6,5,6
215,1,7,7,7,7,7,7,6,7,6,5,6,7,5,5,5,7,1,4,4,4,6,4,6,5,1,4,4,4,2,3,4,1,,,1,1,1,1,,1,6,6,7,6,4,6,5,3,3,4,6
236,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,7,7,7,7,7,7,7,7,1,3,2,3,,,,1,,1,1,,7,7,7,7,7,7,7,7,7,7,6
245,1,5,5,4,6,6,6,5,6,5,4,4,4,6,6,5,6,5,5,4,4,5,5,4,6,4,4,4,5,2,4,4,2,,1,,,,,,,5,5,5,5,3,4,3,4,4,4,4
396,1,7,7,7,7,7,7,7,7,6,4,7,6,7,7,7,7,7,6,6,4,3,3,4,7,6,7,5,4,1,4,3,5,,1,1,1,1,1,1,1,7,7,7,7,5,5,6,5,6,6,7
202,1,7,7,6,7,6,6,4,7,4,3,4,4,6,6,5,7,4,4,3,1,5,4,4,7,3,3,3,5,1,5,3,3,,,,1,,1,1,,6,6,7,7,5,5,4,6,6,7,6
316,1,1,1,1,1,1,1,1,3,4,4,4,7,5,5,5,7,3,3,3,5,3,3,3,5,2,2,2,5,1,4,3,3,1,,,,,1,1,1,7,7,7,7,3,3,3,7,7,7,7
99,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,3,2,2,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7
343,1,7,7,7,7,7,7,7,7,6,6,6,7,4,4,4,4,4,4,4,6,4,4,4,7,4,4,4,7,2,3,3,4,,,,,,1,1,1,5,5,7,5,4,2,2,5,5,2,5
326,1,7,7,6,7,5,5,4,6,6,5,5,7,4,4,5,4,5,4,5,5,5,4,4,7,5,4,4,6,1,4,4,2,,,,,,1,1,1,4,4,6,6,3,3,3,5,4,5,6
333,1,5,5,5,7,7,7,7,7,6,6,6,7,7,7,7,7,6,6,6,5,6,6,6,7,4,4,4,7,2,4,4,2,,1,,1,,1,1,1,6,6,6,6,4,4,4,7,4,4,4
116,1,7,7,7,7,7,7,7,7,4,4,4,3,4,3,3,4,4,3,3,3,6,5,5,4,5,4,4,5,2,3,4,4,,1,,1,,,1,1,4,4,5,4,5,5,4,5,4,4,5
180,1,7,5,5,7,7,7,7,7,7,3,3,7,5,3,3,7,5,5,5,7,7,7,7,7,4,4,5,7,1,3,2,3,,,,,,,,1,7,7,7,7,7,7,7,4,4,7,7
89,1,4,4,4,5,5,5,5,5,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,4,2,1,1,1,1,1,1,1,1,5,5,5,5,5,5,4,5,5,4,5
1012,1,7,6,4,7,6,4,4,7,7,4,4,6,1,1,1,7,1,1,1,2,7,4,3,7,7,7,7,1,1,6,4,2,,1,,,1,,1,1,2,5,4,4,1,5,1,4,4,4,4
67,1,5,6,4,5,5,6,4,6,2,3,4,6,3,5,3,5,2,5,4,6,3,5,4,6,3,5,4,5,2,3,3,4,1,,,1,1,1,1,1,5,3,5,4,3,6,4,3,5,3,5
107,1,5,6,6,4,4,5,5,6,6,5,5,5,5,4,5,5,5,6,6,5,5,4,5,6,4,4,5,6,1,4,3,3,,1,,1,,1,1,1,6,5,5,6,6,5,4,6,5,5,5
330,1,6,6,5,7,6,6,6,6,5,5,5,6,3,5,4,5,4,5,5,5,4,4,4,4,3,3,3,3,2,4,4,4,,1,,,,1,,1,6,5,6,5,4,4,3,4,5,5,4
498,1,5,6,6,7,6,6,7,7,6,6,6,5,5,5,6,7,6,6,5,2,7,6,6,7,4,5,5,2,1,3,1,4,,1,,1,1,1,1,1,4,7,7,6,5,6,6,7,7,7,7
316,1,5,5,5,4,6,5,5,5,4,3,3,3,4,3,3,2,4,4,4,3,2,3,3,3,2,2,2,3,1,4,4,2,,,,1,1,1,1,1,7,6,6,6,2,2,2,4,4,4,6
546,1,7,7,7,7,5,5,5,7,4,4,4,4,4,4,4,6,2,3,2,4,4,3,3,6,2,2,2,6,1,4,5,2,,1,,,,1,,1,6,7,7,6,2,3,2,5,4,5,5
326,1,7,6,6,7,7,7,6,7,7,6,5,7,4,4,4,5,3,3,4,3,5,5,5,6,3,3,3,4,2,4,4,4,,,,,1,1,1,1,7,7,7,7,5,5,5,7,6,6,5
474,1,7,7,7,6,5,5,4,5,6,5,6,5,5,6,4,6,6,5,5,6,5,4,6,5,4,5,5,6,1,4,5,2,,,,,,,1,1,5,5,6,4,6,5,4,5,6,4,5
237,2,3,2,3,3,3,2,3,3,3,3,2,2,3,3,2,4,3,3,2,3,2,3,3,2,2,2,3,2,2,5,2,2,,,,,,1,,,3,3,3,2,2,3,3,4,3,3,3
62,1,6,5,7,4,6,5,6,7,5,6,7,6,7,6,7,5,6,6,5,7,6,4,5,6,6,5,7,4,1,4,5,2,1,,,1,1,,1,1,6,4,5,7,6,4,5,6,4,5,4
233,1,5,4,4,4,3,3,4,3,3,2,3,3,6,5,5,4,3,3,3,4,4,4,3,5,1,1,1,3,1,4,5,2,,,,,,1,,,7,4,3,3,1,1,1,5,3,4,2
101,1,7,5,6,5,7,5,4,7,7,4,7,5,7,5,7,7,6,7,6,7,7,6,6,7,7,6,5,7,2,4,4,3,,1,1,1,1,1,,1,6,7,5,7,5,7,7,6,5,4,7
298,1,7,7,5,7,7,4,4,7,4,2,2,4,2,1,1,6,2,1,1,4,2,1,1,5,1,1,1,3,2,3,4,2,,,,1,,,1,1,7,3,6,6,1,2,2,5,2,5,4
210,1,7,7,7,7,7,7,7,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,4,4,3,,,,,,1,1,1,7,7,7,4,5,3,3,7,3,4,7
215,1,4,4,3,7,4,4,2,7,1,1,1,4,5,2,3,5,2,2,2,1,1,1,1,6,1,1,1,1,1,3,4,4,,1,,1,1,1,1,1,6,5,6,5,5,5,5,4,4,3,6
238,1,6,5,3,5,5,5,3,7,5,3,3,5,5,4,4,5,3,3,3,3,5,5,4,7,4,5,4,4,2,3,4,3,,1,,,1,,1,1,7,7,7,7,6,5,4,7,6,7,7
115,1,7,6,4,7,7,5,6,7,7,7,6,7,6,5,4,7,6,5,4,5,7,5,5,7,7,5,4,7,2,3,4,5,,,,1,,1,1,,7,6,7,5,7,7,6,6,7,6,7
265,1,5,6,6,5,6,6,7,7,2,2,3,2,3,2,3,3,3,4,2,2,1,1,1,7,5,5,6,7,1,5,4,3,,,,,1,1,,1,6,6,7,7,4,4,4,6,6,7,6
